country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Algeria,DZA,2021-01-29,0.0,0.0,,,,0.0,0.0,,,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-01-30,30.0,30.0,,30.0,30.0,0.0,0.0,,1.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-01-31,,,,,1889.0,,,,42.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-01,,,,,2509.0,,,,56.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-02,,,,,2819.0,,,,63.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-03,,,,,3005.0,,,,67.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-04,,,,,3129.0,,,,70.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-05,,,,,3217.0,,,,72.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-06,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-07,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-08,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-09,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-10,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-11,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-12,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-13,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-14,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-15,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-16,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-17,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-18,,,,,3748.0,,,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-19,75000.0,75000.0,,,3748.0,0.17,0.17,,84.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-20,,,,,6409.0,,,,144.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-21,,,,,9069.0,,,,203.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-22,,,,,11729.0,,,,263.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-23,,,,,14389.0,,,,323.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-24,,,,,17049.0,,,,382.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-25,,,,,19709.0,,,,442.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-26,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-27,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-02-28,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-01,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-02,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-03,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-04,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-05,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-06,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-07,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-08,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-09,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-10,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-11,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-12,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-13,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-14,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-15,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-16,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-17,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-18,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-19,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-20,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-21,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-22,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-23,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-24,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-25,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-26,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-27,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-28,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-29,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-30,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-03-31,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-01,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-02,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-03,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-04,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-05,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-06,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-07,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-08,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-09,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-10,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-11,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-12,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-13,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-14,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-15,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-16,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-17,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-18,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-19,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-20,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-21,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-22,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-23,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-24,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-25,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-26,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-27,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-28,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-29,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-04-30,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-05-01,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-05-02,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-05-03,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-05-04,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-05-05,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Algeria,DZA,2021-05-06,,,,,22369.0,,,,501.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
